PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,PSTL_CODE,VISIT_NO,DATE_COL,LAB_SAMPLE_ID,SAMPLE_ID,LAB,MATRIX,SAM_CODE,DATE_RECEIVED,BATCH_ID,DATE_ANALYZED,DILUTION_FACTOR,EXTRACT,HOLDING_TIME,MDL,NARS_FLAG,QA_FLAG,RESULT,RESULT_UNITS,RESULT_VOL,RESULT_VOL_UNITS,RL,SHIP_FLAG,VOLUME_ADJUST,VOLUME_FILTERED
6/2/2026,2022087,NRS_WV-10090,NRS23_WV_10015,WV,1,6/15/2023,2310149,240903,PESD-AL,PERIPHYTON,REGULAR,6/17/2023,230626.1,6/26/2023,,424,11,0.29,,,2.542,ug/cm2,678,ug/L,1,,,25
6/2/2026,2022088,NRS_WA-10480,NRS23_WA_10032,WA,1,6/16/2023,2310148,241363,PESD-AL,PERIPHYTON,REGULAR,6/17/2023,230626.1,6/26/2023,,131,10,0.29,,,0.7875,ug/cm2,210,ug/L,1,,,25
6/2/2026,2022089,NRS_WA-10443,NRS23_WA_10017,WA,1,6/15/2023,2310151,241183,PESD-AL,PERIPHYTON,REGULAR,6/17/2023,230626.1,6/26/2023,9,1179,11,0.29,,,7.087,ug/cm2,1890,ug/L,1,,,25
6/2/2026,2022090,NRS_LA-10217,NRS23_LA_10014,LA,1,6/15/2023,2310146,232223,PESD-AL,PERIPHYTON,REGULAR,6/17/2023,230626.1,6/26/2023,,73.7,11,0.29,,,1.106,ug/cm2,295,ug/L,1,,,10
6/2/2026,2022091,NRS_CT-10125,NRS23_CT_10029,CT,1,6/16/2023,2310160,244923,PESD-AL,PERIPHYTON,REGULAR,6/20/2023,230627.1,6/27/2023,,192,11,0.29,S,,0.628,ug/cm2,307,ug/L,1,,,25
6/2/2026,2022092,NRS_WA-10488,NRS23_WA_10040,WA,1,6/16/2023,2310150,236183,PESD-AL,PERIPHYTON,REGULAR,6/17/2023,230626.1,6/26/2023,,64.4,10,0.29,,,0.3862,ug/cm2,103,ug/L,1,,,25
6/2/2026,2022093,NRS_RI-10071,NRS23_RI_10001,RI,1,6/18/2023,2310157,239603,PESD-AL,PERIPHYTON,REGULAR,6/20/2023,230626.1,6/26/2023,,249,8,0.29,,,1.492,ug/cm2,398,ug/L,1,,,25
6/2/2026,2022094,NRS_LA-10269,NRS23_LA_10068,LA,1,6/18/2023,2310168,232783,PESD-AL,PERIPHYTON,REGULAR,6/21/2023,230627.1,6/27/2023,,48.5,9,0.29,S,,0.291,ug/cm2,77.6,ug/L,1,,,25
6/2/2026,2022095,NRS_IA-10198,NRS23_IA_10061,IA,1,6/19/2023,2310189,234843,PESD-AL,PERIPHYTON,REGULAR,6/22/2023,230703.1,7/3/2023,,213,14,0.29,S,,3.195,ug/cm2,852,ug/L,1,,,10
6/2/2026,2022096,NRS_IA-10138,NRS23_IA_10005,IA,1,6/19/2023,2310161,242123,PESD-AL,PERIPHYTON,REGULAR,6/20/2023,230627.1,6/27/2023,,233,8,0.29,,,1.399,ug/cm2,373,ug/L,1,,,25
6/2/2026,2022097,NRS_RI-10070,NRS23_RI_10003,RI,1,6/19/2023,2310156,239803,PESD-AL,PERIPHYTON,REGULAR,6/20/2023,230626.1,6/26/2023,,76.6,7,0.29,,,0.4612,ug/cm2,123,ug/L,1,,,25
6/2/2026,2022098,NRS_OK-10195,NRS23_OK_10060,OK,2,6/19/2023,,249443,ODEQ,PERIPHYTON,REGULAR,6/22/2023,7/5/2023,7/5/2023,,15,16,,,,0.2008,ug/cm2,53.54,ug/L,0.5,,,25
6/2/2026,2022099,NRS_CA-11201,NRS23_CA_10076,CA,1,6/19/2023,2310169,233523,PESD-AL,PERIPHYTON,REGULAR,6/21/2023,230627.1,6/27/2023,,145,8,0.29,,,0.8788,ug/cm2,232,ug/L,1,,,25
6/2/2026,2022100,NRS_WI-10180,NRS23_WI_10002,WI,1,6/19/2023,2310158,245843,PESD-AL,PERIPHYTON,REGULAR,6/20/2023,230626.1,6/26/2023,,361,7,0.29,,,2.168,ug/cm2,578,ug/L,1,,,25
6/2/2026,2022101,NRS_WA-10479,NRS23_WA_10031,WA,1,6/19/2023,2310167,244403,PESD-AL,PERIPHYTON,REGULAR,6/21/2023,230627.1,6/27/2023,,156,8,0.29,,,0.9375,ug/cm2,250,ug/L,1,,,25
6/2/2026,2022102,NRS_WA-10435,NRS23_WA_10010,WA,1,6/18/2023,2310159,244383,PESD-AL,PERIPHYTON,REGULAR,6/20/2023,230627.1,6/27/2023,,167,9,0.29,,,1.001,ug/cm2,267,ug/L,1,,,25
6/2/2026,2022103,NRS_OK-10254,NRS23_OK_10047,OK,1,6/19/2023,,240403,ODEQ,PERIPHYTON,REGULAR,6/21/2023,7/5/2023,7/5/2023,,15,16,,,,0.6098,ug/cm2,160.99,ug/L,0.5,,,20
6/2/2026,2022104,NRS_LA-10236,NRS23_LA_10033,LA,1,6/19/2023,2310162,244743,PESD-AL,PERIPHYTON,REGULAR,6/21/2023,230627.1,6/27/2023,,19.2,8,0.29,,,0.1151,ug/cm2,30.7,ug/L,1,,,25
6/2/2026,2022105,NRS_KS-10235,NRS23_KS_10068,KS,1,6/19/2023,2310163,236603,PESD-AL,PERIPHYTON,REGULAR,6/21/2023,230627.1,6/27/2023,,162,8,0.29,,,0.9811,ug/cm2,259,ug/L,1,,,25
6/2/2026,2022106,NRS_LA-10273,NRS23_LA_10072,LA,1,6/19/2023,2310192,250343,PESD-AL,PERIPHYTON,REGULAR,6/22/2023,230705.1,7/5/2023,,138,16,0.29,S,,0.8288,ug/cm2,221,ug/L,1,,,25
6/2/2026,2022107,NRS_VT-10154,NRS23_VT_10010,VT,1,6/20/2023,2310166,250683,PESD-AL,PERIPHYTON,REGULAR,6/21/2023,230627.1,6/27/2023,,150,7,0.29,,,0.9,ug/cm2,240,ug/L,1,,,25
6/2/2026,2022108,NRS_RI-10110,NRS23_RI_10041,RI,1,6/20/2023,2310174,239703,PESD-AL,PERIPHYTON,REGULAR,6/22/2023,230627.1,6/27/2023,,94.4,7,0.29,,,0.3775,ug/cm2,151,ug/L,1,,,25
6/2/2026,2022109,NRS_PA-10143,NRS23_PA_10024,PA,1,6/20/2023,2310183,235803,PESD-AL,PERIPHYTON,REGULAR,6/22/2023,230703.1,7/3/2023,,597,13,0.29,,,1.411,ug/cm2,955,ug/L,1,,,25
6/2/2026,2022110,NRS_IA-10208,NRS23_IA_10084,IA,1,6/20/2023,2310172,235263,PESD-AL,PERIPHYTON,REGULAR,6/22/2023,230627.1,6/27/2023,9,1359,7,0.29,,,20.4,ug/cm2,5440,ug/L,1,,,10
